timestamp,priority_score,alert_level,reasons,telegram_msgs,whale_txs,twitter_engagement,telegram_sentiment,twitter_sentiment
2025-10-01 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.44),2.0,103.0,6991.0,0.3326,0.3
2025-09-29 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.69),1.0,1195.0,1119.0,0.1982,0.0
2025-09-28 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.14),2.0,51.0,0.0,0.0,0.0
2025-09-27 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.87),2.0,71.0,0.0,0.1806,0.0
2025-09-26 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.00),1.0,246.0,0.0,0.64,0.0
2025-09-26 21:00:00,3,MEDIUM,고래 거래 급증 (z=3.29),2.0,130.0,0.0,0.2233,0.0
2025-09-26 19:00:00,3,MEDIUM,고래 거래 급증 (z=2.32),2.0,77.0,698.0,0.17,0.3
2025-09-25 00:00:00,3,MEDIUM,고래 거래 급증 (z=3.59),2.0,115.0,42.0,0.26855,0.0
2025-09-24 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.49),1.0,94.0,813.0,0.0,0.0
2025-09-23 22:00:00,3,MEDIUM,고래 거래 급증 (z=3.74),1.0,121.0,1.0,0.5859,0.0
2025-09-22 18:00:00,3,MEDIUM,고래 거래 급증 (z=2.02),4.0,122.0,0.0,0.117075,0.0
2025-09-22 15:00:00,3,MEDIUM,고래 거래 급증 (z=3.15),3.0,150.0,1205.0,0.03986666666666666,-0.05
2025-09-22 12:00:00,3,MEDIUM,고래 거래 급증 (z=2.75),5.0,103.0,0.0,-0.13636666666666666,0.0
2025-09-22 10:00:00,3,MEDIUM,고래 거래 급증 (z=3.79),1.0,109.0,0.0,0.6124,0.0
2025-09-21 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.30),0.0,78.0,0.0,0.0,0.0
2025-09-20 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.60),0.0,88.0,0.0,0.0,0.0
2025-09-20 14:00:00,3,MEDIUM,고래 거래 급증 (z=3.49),2.0,111.0,0.0,0.0386,0.0
2025-09-19 22:00:00,3,MEDIUM,고래 거래 급증 (z=4.50),1.0,93.0,3811.0,-0.128,0.0
2025-09-18 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.55),1.0,88.0,0.0,-0.2732,0.0
2025-09-18 17:00:00,3,MEDIUM,고래 거래 급증 (z=3.55),3.0,120.0,319.0,-0.05103333333333334,-0.06666666666666667
2025-09-16 23:00:00,3,MEDIUM,고래 거래 급증 (z=4.67),2.0,284.0,1860.0,-0.16555,0.06666666666666667
2025-09-15 15:00:00,3,MEDIUM,고래 거래 급증 (z=2.88),4.0,28.0,1112.0,0.55385,0.1
2025-09-14 05:00:00,3,MEDIUM,고래 거래 급증 (z=4.63),4.0,125.0,0.0,0.0271499999999999,0.0
2025-09-12 19:00:00,3,MEDIUM,고래 거래 급증 (z=3.02),1.0,26.0,0.0,-0.4144,0.0
2025-09-12 17:00:00,3,MEDIUM,고래 거래 급증 (z=2.15),1.0,20.0,9038.0,-0.5106,0.13333333333333333
2025-09-12 09:00:00,3,MEDIUM,고래 거래 급증 (z=2.09),1.0,19.0,2954.0,0.4588,0.0
2025-09-10 18:00:00,3,MEDIUM,고래 거래 급증 (z=3.94),3.0,44.0,471.0,0.236825,0.0
2025-09-09 03:00:00,3,MEDIUM,고래 거래 급증 (z=2.92),3.0,105.0,593.0,0.3395,0.0
2025-09-08 11:00:00,3,MEDIUM,고래 거래 급증 (z=2.82),4.0,85.0,0.0,-0.0167,0.0
2025-09-05 20:00:00,3,MEDIUM,고래 거래 급증 (z=3.38),1.0,72.0,1864.0,0.875,0.2
2025-09-05 04:00:00,3,MEDIUM,고래 거래 급증 (z=2.06),2.0,36.0,0.0,-0.064,0.0
